# TUFS Basic German Wordnet	deu http://www.coelang.tufs.ac.jp/mt/de/	CC BY 4.0
15210045-n	deu:lemma	Januar
15210045-n	deu:exe	Also, bis zum 18. Januar.
05755883-n	deu:lemma	Studium
05755883-n	deu:exe	Äh, was willst du denn eigentlich nach dem Studium machen?
04971928-n	deu:lemma	braun
04971928-n	deu:exe	Sie hat braune Augen und eine braune Haarfarbe.
15163797-n	deu:lemma	Sonntag
15163797-n	deu:exe	Ach, übrigens, hast du am Sonntag Zeit?
15043763-n	deu:lemma	Schnee
15043763-n	deu:exe	Der Berggipfel ist selbst im Sommer mit Schnee bedeckt.
00251013-n	deu:lemma	Reinigung
00251013-n	deu:exe	Also beginnen wir mit der Reinigung der Zimmer.
08058098-n	deu:lemma	Firma
08058098-n	deu:exe	Mein Vater arbeitet bei einer Firma, die eng mit Toyota zusammenarbeitet.
01382086-a	deu:lemma	groß
01382086-a	deu:exe	Der kleine Wecker und die große Vase sind Geschenke von meinem Vater.
01453084-a	deu:lemma	groß
01453084-a	deu:exe	Der kleine Wecker und die große Vase sind Geschenke von meinem Vater.
00527870-a	deu:lemma	groß
00527870-a	deu:exe	Der kleine Wecker und die große Vase sind Geschenke von meinem Vater.
01677433-a	deu:lemma	groß
01677433-a	deu:exe	Der kleine Wecker und die große Vase sind Geschenke von meinem Vater.
10084295-n	deu:lemma	Mädchen
10084295-n	deu:exe	Das Mädchen steht vor dem Spiegel.
10129825-n	deu:lemma	Mädchen
10129825-n	deu:exe	Das Mädchen steht vor dem Spiegel.
10129825-n	deu:lemma	Schwester
10129825-n	deu:exe	Meine Schwester arbeitet bei dieser Bank.
00065495-v	deu:lemma	munter
00065495-v	deu:exe	Das Kind hat Fieber und sieht trotzdem munter aus.
80001734-n	deu:lemma	Unterricht
80001734-n	deu:exe	„Sind Sie mit dem Unterricht zufrieden?“
00889472-n	deu:lemma	Unterricht
00889472-n	deu:exe	„Sind Sie mit dem Unterricht zufrieden?“
02608347-v	deu:lemma	beginnen
02608347-v	deu:exe	Alles beginnt mit dem ersten Schritt.
07850329-n	deu:lemma	Käse
07850329-n	deu:exe	Er nimmt ein Messer. Und damit schneidet er ein Stück Käse ab.
03623556-n	deu:lemma	Messer
03623556-n	deu:exe	Ich brauche ein schärferes Messer.
03624134-n	deu:lemma	Messer
03624134-n	deu:exe	Ich brauche ein schärferes Messer.
01776727-v	deu:lemma	hassen
01776727-v	deu:exe	Ich hasse Leute, die im Auto mit dem Handy telefonieren.
01774136-v	deu:lemma	hassen
01774136-v	deu:exe	Ich hasse Leute, die im Auto mit dem Handy telefonieren.
02783161-n	deu:lemma	Kugelschreiber
02783161-n	deu:exe	Dieser Kugelschreiber schreibt echt gut.
02632567-v	deu:lemma	mögen
02632567-v	deu:exe	Ich möchte zum Geburtstag ein Sportrad.
01579608-a	deu:lemma	gleich
01579608-a	deu:exe	Geh lieber gleich zum Arzt!
03427296-n	deu:lemma	Tor
03427296-n	deu:exe	Das große Tor öffnete sich knarrend.
04026417-n	deu:lemma	Portemonnaie
04026417-n	deu:exe	Ich glaube, Sie haben Ihr Portemonnaie vergessen.
11456462-n	deu:lemma	heiter
11456462-n	deu:exe	Berlin meldet heiter bis wölkig bei 27 Grad.
07848338-n	deu:lemma	Butter
07848338-n	deu:exe	Zwiebeln klein schneiden und in Butter braun rösten.
90000501-n	deu:lemma	letztes Jahr
90000501-n	deu:exe	Aber letztes Jahr war ich in Thailand.
15210870-n	deu:lemma	März
15210870-n	deu:exe	In Japan feiert man am 3. März das Mädchenfest.
77000072-n	deu:lemma	hier
77000072-n	deu:exe	Hier wird bald eine Grundschule gebaut.
08489497-n	deu:lemma	hier
08489497-n	deu:exe	Hier wird bald eine Grundschule gebaut.
03561345-n	deu:lemma	Bild
03561345-n	deu:exe	Auf dem Film sind noch drei Bilder.
03234306-n	deu:lemma	Bild
03234306-n	deu:exe	Auf dem Film sind noch drei Bilder.
03876519-n	deu:lemma	Bild
03876519-n	deu:exe	Auf dem Film sind noch drei Bilder.
07110615-n	deu:lemma	Stimme
07110615-n	deu:exe	Ich erkenne ihn an seiner Stimme.
05202284-n	deu:lemma	Stimme
05202284-n	deu:exe	Ich erkenne ihn an seiner Stimme.
09411430-n	deu:lemma	Fluss
09411430-n	deu:exe	Den Fluss entlang stehen Kirschbäume.
15236859-n	deu:lemma	Herbst
15236859-n	deu:exe	Wir haben uns schon im Herbst vorigen Jahres kennen gelernt.
02107442-v	deu:lemma	hören
02107442-v	deu:exe	Du kannst doch hier nicht einfach Musik hören!
02169891-v	deu:lemma	hören
